Index,Order ID,Cust ID,Gender,Age,Date,Status,Channel ,SKU,Category,Size,Qty,Amount,Ship-City,Ship-State,Ship-Postal-Code,B2B,age_group
20637,403-7279810-9041903,7279810,F,30,05-01-2023,Delivered,Amazon,JNE1234-MULTI-KR-032-S,kurta,S,1,301,HYDERABAD,TELANGANA,500072,No,adults
9397,404-3203581-1532320,3203581,F,50,04-02-2023,Delivered,Flipkart,SET392-KR-NP-M,Set,M,1,799,NEW DELHI,DELHI,110025,No,middle_age
9629,408-3434507-0925927,3434507,F,50,04-02-2023,Delivered,Myntra,JNE3714-KR-L,kurta,L,1,487,DEHRADUN,UTTARAKHAND,248001,No,middle_age
20704,403-3779561-3026749,3779561,M,30,05-01-2023,Delivered,Amazon,SET322-KR-SHA-XL,Set,XL,1,1099,AGRA,UTTAR PRADESH,282003,No,adults
20830,171-0558342-3100321,558342,F,30,05-01-2023,Cancelled,Amazon,JNE3399-KR-XS,kurta,XS,1,435,PUDUCHERRY,PUDUCHERRY,605005,No,adults
10395,406-7035505-1797921,7035505,M,18,04-01-2023,Delivered,Amazon,NW012-TP-PJ-L,Set,L,1,560,Badvel,ANDHRA PRADESH,516227,No,youth
10404,402-8695290-6461922,8695290,F,18,04-01-2023,Delivered,Myntra,MEN5025-KR-S,kurta,S,1,549,THIRUVANANTHAPURAM,KERALA,695011,No,youth
10459,406-2076284-2496324,2076284,F,18,04-01-2023,Delivered,Amazon,SET397-KR-NP-XS,Set,XS,1,999,NAVSARI,GUJARAT,396445,No,youth
20857,403-6560675-2477948,6560675,M,30,05-01-2023,Delivered,Amazon,SET273-KR-NP-S,Set,S,1,612,BHAGALPUR,BIHAR,812002,No,adults
20923,403-9728737-5521105,9728737,F,30,05-01-2023,Delivered,Myntra,JNE2305-KR-533-M,kurta,M,1,357,COIMBATORE,TAMIL NADU,641011,No,adults
20967,406-1608008-3395553,1608008,F,30,05-01-2023,Delivered,Amazon,JNE3794-KR-L,kurta,L,1,499,CHENNAI,TAMIL NADU,603103,No,adults
9691,407-1390157-3417957,1390157,M,50,04-02-2023,Delivered,Myntra,J0341-DR-XL,Western Dress,XL,1,1033,VADODARA,GUJARAT,390012,No,middle_age
20992,404-2410820-0014745,2410820,F,30,05-01-2023,Delivered,Ajio,SET401-KR-NP-XXXL,Set,3XL,1,999,Lucknow,UTTAR PRADESH,226015,No,adults
10520,171-0491076-7932348,491076,M,18,04-01-2023,Delivered,Nykaa,SET128-KR-DH-XL,Set,XL,1,921,BENGALURU,KARNATAKA,560025,No,youth
21081,404-7720455-2050769,7720455,M,30,05-01-2023,Delivered,Myntra,SET185-KR-NP-XL,Set,XL,1,737,MUMBAI,MAHARASHTRA,400026,No,adults
21083,408-7994694-5245914,7994694,F,30,05-01-2023,Delivered,Meesho,JNE3463-KR-XL,kurta,XL,1,540,FATEHNAGAR,RAJASTHAN,313205,No,adults
10569,171-3325660-1544359,3325660,F,18,04-01-2023,Delivered,Ajio,JNE3363-KR-1032-XXL,kurta,XXL,1,399,GUNTUR,ANDHRA PRADESH,522213,No,youth
9734,408-9440450-3316343,9440450,M,50,04-02-2023,Delivered,Flipkart,SET364-KR-NP-XXL,Set,XXL,1,1126,NEW DELHI,DELHI,110044,No,middle_age
21108,403-8157749-8502704,8157749,F,30,05-01-2023,Delivered,Nykaa,SET268-KR-NP-L,Set,L,1,788,IMPHAL,MANIPUR,795140,No,adults
21172,405-2312229-5422709,2312229,F,30,05-01-2023,Delivered,Myntra,JNE3928-KR-XXXL,kurta,3XL,1,568,JAGRAON,PUNJAB,142026,No,adults
10628,402-1076506-3754708,1076506,F,18,04-01-2023,Delivered,Flipkart,MEN5029-KR-L,kurta,L,1,625,CUTTACK,ODISHA,754006,No,youth
21310,402-4729930-7662753,4729930,F,30,05-01-2023,Delivered,Ajio,JNE3837-KR-M,kurta,M,1,533,THANE,MAHARASHTRA,400604,No,adults
10632,405-6170874-6550752,6170874,F,18,04-01-2023,Delivered,Amazon,JNE3838-KR-M,kurta,M,1,399,PARAPPANANGADI,KERALA,676303,No,youth
9911,407-0527307-4234705,527307,F,50,04-02-2023,Delivered,Amazon,JNE3518-KR-XXL,kurta,XXL,1,487,Bengaluru,KARNATAKA,560068,No,middle_age
21319,402-1494085-9151568,1494085,M,30,05-01-2023,Delivered,Amazon,SET339-KR-NP-XS,Set,XS,1,646,KALABURGI,KARNATAKA,585102,No,adults
10646,406-3024132-0408339,3024132,F,18,04-01-2023,Delivered,Myntra,BL035-161GOLD,Jeans,Free,3,1116,JALPAIGURI,WEST BENGAL,735101,No,youth
21320,403-1759507-2828330,1759507,F,30,05-01-2023,Delivered,Meesho,JNE3818-KR-M,kurta,M,1,475,UJJAIN,MADHYA PRADESH,456010,No,adults
10686,405-9762826-9383503,9762826,M,18,04-01-2023,Delivered,Myntra,JNE3800-KR-L,Western Dress,L,1,735,THIRUVANANTHAPURAM,KERALA,695004,No,youth
21321,407-6642511-3335540,6642511,M,30,05-01-2023,Delivered,Amazon,J0008-SKD-XL,Set,XL,1,1147,"Ranip,AHMEDABAD",GUJARAT,382480,No,adults
19369,405-2449654-1306728,2449654,F,50,05-02-2023,Delivered,Flipkart,JNE3782-KR-XXXL,kurta,3XL,1,544,VARANASI,UTTAR PRADESH,221010,No,middle_age
21402,406-2984505-9159515,2984505,F,30,05-01-2023,Delivered,Myntra,J0008-SKD-S,Set,S,1,1133,TALEGAON DABHADE,MAHARASHTRA,410506,No,adults
21478,402-9112048-1685148,9112048,M,30,05-01-2023,Delivered,Nykaa,J0152-DR-L,Western Dress,L,1,1229,NEW DELHI,DELHI,110019,No,adults
19453,406-4990719-2752306,4990719,F,50,05-02-2023,Delivered,Flipkart,J0092-SET-XXXL,Set,3XL,1,833,NEW DELHI,DELHI,110096,No,middle_age
21483,402-6303611-8577934,6303611,F,30,05-01-2023,Delivered,Flipkart,JNE3405-KR-M,kurta,M,1,399,NEW DELHI,DELHI,110059,No,adults
10749,406-5182893-3565905,5182893,F,18,04-01-2023,Delivered,Ajio,SET183-KR-DH-XL,Set,XL,1,759,PANIPAT,HARYANA,132103,No,youth
20537,171-9930361-7896341,9930361,M,18,05-01-2023,Delivered,Flipkart,NW039-TP-SR-XXXL,Set,3XL,1,495,NEW TOWN,WEST BENGAL,700156,No,youth
20578,171-2329183-6207513,2329183,F,18,05-01-2023,Cancelled,Amazon,SET243-KR-PP-XXL,Set,XXL,1,499,GHAZIABAD,UTTAR PRADESH,201016,No,youth
20596,406-4663757-4569111,4663757,F,18,05-01-2023,Delivered,Amazon,JNE3607-KR-XXXL,kurta,3XL,1,471,Hyderabad,TELANGANA,500050,No,youth
19508,404-0321304-9878707,321304,F,50,05-02-2023,Delivered,Flipkart,NW030-TP-PJ-XL,Set,XL,1,582,MUMBAI,MAHARASHTRA,400089,No,middle_age
19835,171-0804517-8874767,804517,F,50,05-02-2023,Delivered,Myntra,SET334-KR-NP-XS,Set,XS,1,666,RAIPUR,CHHATTISGARH,492001,No,middle_age
20616,171-9072665-6876363,9072665,F,18,05-01-2023,Delivered,Flipkart,J0003-SET-XS,Set,XS,1,664,BHIWANDI,MAHARASHTRA,421302,No,youth
20689,171-5612633-4883554,5612633,F,18,05-01-2023,Delivered,Amazon,SET293-KR-NP-L,Set,L,1,692,LUCKNOW,UTTAR PRADESH,226010,No,youth
30327,407-5889501-0953146,5889501,M,30,06-01-2023,Delivered,Myntra,J0415-DR-L,Western Dress,L,1,1187,Pune,MAHARASHTRA,412101,No,adults
30457,403-4438712-9196312,4438712,M,30,06-01-2023,Delivered,Amazon,SET323-KR-NP-S,Set,S,1,999,Kasaragod,KERALA,671314,No,adults
20739,402-1718964-3095525,1718964,F,18,05-01-2023,Delivered,Meesho,JNE3524-KR-M,kurta,M,1,499,GUNTUR,ANDHRA PRADESH,522007,No,youth
30481,408-3547566-0384317,3547566,F,30,06-01-2023,Delivered,Amazon,MEN5004-KR-L,kurta,L,1,480,THIRUVANANTHAPURAM,KERALA,695011,No,adults
30506,171-7251825-1943539,7251825,F,30,06-01-2023,Delivered,Amazon,J0277-SKD-XL,Set,XL,1,1323,PAONTA SAHIB,HIMACHAL PRADESH,173025,No,adults
20915,407-2300949-1697109,2300949,F,18,05-01-2023,Delivered,Amazon,MEN5004-KR-XXXL,kurta,3XL,1,688,GAURI BAZAR,UTTAR PRADESH,274202,No,youth
30532,405-8046905-2233139,8046905,F,30,06-01-2023,Delivered,Ajio,JNE3459-KR-XXL,kurta,XXL,1,399,BENGALURU,KARNATAKA,560058,No,adults
30576,405-8989470-8801913,8989470,M,30,06-01-2023,Delivered,Amazon,J0003-SET-M,Set,M,1,646,JAMSHEDPUR,JHARKHAND,831001,No,adults
20955,407-6866533-8613116,6866533,M,18,05-01-2023,Cancelled,Flipkart,SET324-KR-NP-XL,Set,XL,1,597,GURUGRAM,HARYANA,122101,No,youth
20968,402-8605718-0446749,8605718,F,18,05-01-2023,Cancelled,Flipkart,JNE3836-KR-XXL,kurta,XXL,1,626,AHMEDABAD,GUJARAT,380007,No,youth
30584,405-7565271-4371514,7565271,M,30,06-01-2023,Delivered,Amazon,SET398-KR-PP-M,Set,M,1,1186,delhi,DELHI,110043,No,adults
19932,403-2153673-0724300,2153673,F,50,05-02-2023,Delivered,Amazon,JNE3606-KR-L,kurta,L,1,487,ANAND,GUJARAT,388001,No,middle_age
30616,171-6397224-2877145,6397224,F,30,06-01-2023,Delivered,Myntra,JNE3510-KR-M,kurta,M,1,428,MADUKKARAI,TAMIL NADU,641105,No,adults
30645,402-0306988-9729162,306988,M,30,06-01-2023,Delivered,Myntra,J0003-SET-M,Set,M,1,654,Hajipur,BIHAR,844101,No,adults
20976,408-4575032-6182767,4575032,F,18,05-01-2023,Delivered,Myntra,JNE3718-KR-XXXL,kurta,3XL,1,468,CHENNAI,TAMIL NADU,600100,No,youth
30653,408-6540861-5879536,6540861,M,30,06-01-2023,Delivered,Myntra,J0225-SKD-S,Set,S,1,1284,Osmanabad,MAHARASHTRA,413501,No,adults
30686,408-1013120-6640313,1013120,F,30,06-01-2023,Delivered,Amazon,J0230-SKD-L,Set,L,1,1319,INDORE,MADHYA PRADESH,452001,No,adults
30695,408-2087565-1394725,2087565,F,30,06-01-2023,Delivered,Ajio,JNE3639-TP-N-XL,Top,XL,1,497,MEDAK,TELANGANA,502110,No,adults
21071,405-6955453-5817901,6955453,F,18,05-01-2023,Delivered,Others,JNE3807-KR-L,kurta,L,1,657,KOLKATA,WEST BENGAL,700105,No,youth
30769,171-6667219-9691509,6667219,M,30,06-01-2023,Delivered,Flipkart,J0005-DR-S,Western Dress,S,1,899,MOTIHARI,BIHAR,845401,No,adults
30830,402-0361867-9812375,361867,F,30,06-01-2023,Delivered,Flipkart,SAR024,Saree,Free,1,791,DAMOH,MADHYA PRADESH,470661,No,adults
30956,406-4037812-6886755,4037812,F,30,06-01-2023,Delivered,Amazon,JNE3510-KR-XXL,kurta,XXL,1,457,THANE,MAHARASHTRA,400606,No,adults
30996,402-4418047-0659535,4418047,F,30,06-01-2023,Delivered,Meesho,SET345-KR-NP-L,Set,L,1,626,BHOPAL,MADHYA PRADESH,462041,No,adults
21130,402-5632460-6791500,5632460,F,18,05-01-2023,Delivered,Ajio,MEN5002-KR-M,kurta,M,1,495,PERNEM,GOA,403512,No,youth
31017,402-5902618-2985113,5902618,F,30,06-01-2023,Delivered,Amazon,J0346-SET-XXXL,Set,3XL,1,478,JAMSHEDPUR,JHARKHAND,831011,No,adults
20109,171-9925046-9612300,9925046,F,50,05-02-2023,Delivered,Flipkart,JNE3463-KR-XS,kurta,XS,1,568,SINDHNUR,KARNATAKA,584128,No,middle_age
31034,403-0741097-5754745,741097,F,30,06-01-2023,Delivered,Myntra,JNE3722-KR-L,kurta,L,1,280,COIMBATORE,TAMIL NADU,641041,No,adults
21173,404-1153671-4444325,1153671,F,18,05-01-2023,Delivered,Myntra,JNE3689-TU-M,Top,M,1,434,MUMBAI,MAHARASHTRA,400080,No,youth
31040,405-7447678-6283558,7447678,M,30,06-01-2023,Delivered,Myntra,JNE3676-TU-S,Top,S,1,385,Hyderabad,TELANGANA,500015,No,adults
9120,171-2384306-1609148,2384306,M,30,04-02-2023,Delivered,Amazon,J0106-KR-XXL,Western Dress,XXL,1,1449,PUDUCHERRY,PUDUCHERRY,605006,No,adults
9215,408-8269281-7205921,8269281,F,30,04-02-2023,Delivered,Meesho,SET344-KR-NP-XXL,Set,XXL,1,968,TRICHY,TAMIL NADU,620014,No,adults
9305,406-7723022-3309953,7723022,M,30,04-02-2023,Delivered,Amazon,J0341-DR-L,Western Dress,L,1,743,AHMEDABAD,GUJARAT,382330,No,adults
9308,407-0332981-2188307,332981,F,30,04-02-2023,Delivered,Myntra,J0355-KR-XL,kurta,XL,1,635,HYDERABAD,TELANGANA,500028,No,adults
21224,407-1216731-3437969,1216731,F,18,05-01-2023,Delivered,Ajio,SET044-KR-NP-L,Set,L,1,542,CHANDIGARH,CHANDIGARH,160036,No,youth
9509,171-7277166-1116358,7277166,F,30,04-02-2023,Delivered,Myntra,JNE3727-KR-M,kurta,M,1,549,PIMPRI CHINCHWAD,MAHARASHTRA,411018,No,adults
21322,406-5538606-2827550,5538606,F,18,05-01-2023,Refunded,Myntra,JNE2199-KR-411-A-M,kurta,M,1,353,NOIDA,UTTAR PRADESH,201304,No,youth
9591,405-1749648-5171511,1749648,M,30,04-02-2023,Delivered,Others,SET304-KR-DPT-XXXL,Set,3XL,1,1129,VISAKHAPATNAM,ANDHRA PRADESH,530008,No,adults
9627,171-8247654-6558748,8247654,M,30,04-02-2023,Delivered,Amazon,JNE3797-KR-L,Western Dress,L,1,771,KALYANI,WEST BENGAL,741235,No,adults
9702,405-4958015-0721136,4958015,F,30,04-02-2023,Delivered,Myntra,JNE3810-KR-S,kurta,S,1,696,Faridabad,HARYANA,121010,No,adults
9706,403-7605362-5656366,7605362,M,30,04-02-2023,Delivered,Myntra,J0341-DR-S,Western Dress,S,1,842,DIMAPUR,NAGALAND,797117,No,adults
21476,402-6875856-2323537,6875856,F,18,05-01-2023,Delivered,Myntra,JNE3373-KR-XXL,kurta,XXL,1,376,GURUGRAM,HARYANA,122505,No,youth
9708,407-9943623-1977122,9943623,F,30,04-02-2023,Delivered,Amazon,JNE3774-KR-XL,kurta,XL,1,449,PATNA,BIHAR,801505,No,adults
21548,408-6958100-2477950,6958100,F,18,05-01-2023,Delivered,Myntra,J0334-TP-L,Top,L,1,513,BHOPAL,MADHYA PRADESH,462042,No,youth
9899,408-4141363-2417935,4141363,M,30,04-02-2023,Delivered,Amazon,SAR004,Saree,Free,1,545,SRI GANGANAGAR,RAJASTHAN,335001,No,adults
30284,402-8092901-2524324,8092901,M,18,06-01-2023,Delivered,Flipkart,J0010-LCD-S,Set,S,1,999,KALYAN,MAHARASHTRA,421605,No,youth
20279,404-6266581-1537925,6266581,F,50,05-02-2023,Delivered,Myntra,J0341-DR-M,Western Dress,M,1,744,CHIRALA,ANDHRA PRADESH,523157,No,middle_age
19342,405-0256004-1050774,256004,F,30,05-02-2023,Delivered,Amazon,SET331-KR-NP-S,Set,S,1,597,SILIGURI,WEST BENGAL,734001,No,adults
29535,171-4963163-7567525,4963163,F,50,06-02-2023,Delivered,Ajio,JNE3865-TP-XXXL,Top,3XL,1,513,PIMPRI CHINCHWAD,MAHARASHTRA,411033,No,middle_age
19477,406-3219749-0035550,3219749,M,30,05-02-2023,Delivered,Myntra,SET324-KR-NP-M,Set,M,1,597,ROHTAK,HARYANA,124001,No,adults
30302,407-2572064-6611535,2572064,M,18,06-01-2023,Delivered,Amazon,JNE3869-DR-XS,Western Dress,XS,1,678,KOLLAM,KERALA,691004,No,youth
19609,404-0907645-6658730,907645,M,30,05-02-2023,Delivered,Flipkart,SET393-KR-NP-S,Set,S,1,955,Tripunithura,KERALA,682306,No,adults
30320,407-2373176-9004300,2373176,F,18,06-01-2023,Delivered,Amazon,J0009-SKD-XXXL,Set,3XL,1,828,sirhind,PUNJAB,140406,No,youth
19674,403-9991849-7044369,9991849,F,30,05-02-2023,Delivered,Ajio,SET300-KR-NP-S,Set,S,1,999,Navi Mumbai,MAHARASHTRA,410206,No,adults
19677,171-8013515-6561931,8013515,M,30,05-02-2023,Delivered,Amazon,SET345-KR-NP-S,Set,S,1,666,Bangalore,KARNATAKA,560061,No,adults
30362,405-0732216-2362756,732216,F,18,06-01-2023,Delivered,Amazon,J0301-TP-M,Top,M,1,487,THANE,MAHARASHTRA,400607,No,youth
29544,402-6257752-7526728,6257752,F,50,06-02-2023,Delivered,Ajio,J0119-TP-XL,Top,XL,1,574,Delhi,DELHI,110064,No,middle_age
19706,404-1397762-8965938,1397762,F,30,05-02-2023,Delivered,Myntra,JNE3373-KR-L,kurta,L,1,376,KHACHAROD,MADHYA PRADESH,456224,No,adults
19717,406-2684296-2223505,2684296,M,30,05-02-2023,Delivered,Amazon,J0341-DR-XXXL,Western Dress,3XL,1,791,CHENNAI,TAMIL NADU,600028,No,adults
19719,408-6229530-6381127,6229530,M,30,05-02-2023,Delivered,Myntra,J0338-DR-M,Western Dress,M,1,744,MALDA,WEST BENGAL,732101,No,adults
19726,403-5486018-1857119,5486018,F,30,05-02-2023,Delivered,Flipkart,SET186-KR-DH-XS,Set,XS,1,599,PUDUCHERRY,PUDUCHERRY,605008,No,adults
